[[1, 0, 0, 0], [2, 0, 0, 0], [3, 200, 1, 1.0], [4, 200, 1, 2.0], [5, 400, 2, 2.0]]
[[1, 0, 0, 0], [2, 0, 0, 0], [3, 200, 1, 1.0], [4, 200, 1, 2.0], [5, 400, 2, 2.0]]
[[1, 0, 0, 0], [2, 0, 0, 0], [3, 200, 1, 1.0], [4, 0, 0, 0], [5, 200, 1, 1.0]]
[[1, 300, 1, 0.0], [2, 300, 1, 1.0], [3, 600, 2, 1.5], [4, 300, 1, 1.0], [5, 600, 2, 1.5]]
[[1, 300, 1, 0.0], [2, 0, 0, 0], [3, 300, 1, 1.0], [4, 300, 1, 1.0], [5, 600, 2, 1.5]]
[[1, 300, 1, 0.0], [2, 0, 0, 0], [3, 300, 1, 1.0], [4, 600, 2, 1.5], [5, 900, 3, 2.0]]
[[1, 0, 0, 0], [2, 0, 0, 0], [3, 0, 0, 0], [4, 0, 0, 0], [5, 0, 0, 0]]
[[1, 0, 0, 0], [2, 0, 0, 0], [3, 0, 0, 0], [4, 0, 0, 0], [5, 0, 0, 0]]
[[1, 0, 0, 0], [2, 0, 0, 0], [3, 0, 0, 0], [4, 0, 0, 0], [5, 0, 0, 0]]
[[1, 0, 0, 0], [2, 0, 0, 0], [3, 0, 0, 0], [4, 0, 0, 0], [5, 0, 0, 0]]
