"UE-1";"0.001";"-93.28436878634781 -40.73938161573602 2"
"UE-2";"0.001";"154.57628261815586 129.5741285421497 2"
"UE-3";"0.001";"123.14062057823571 13.034797012801619 2"
"UE-4";"0.001";"-299.31315969544994 169.40456472085242 2"
"UE-5";"0.001";"-297.08587910990184 42.21028153098655 2"
"UE-1";"0.002";"-93.29339612315877 -40.75309500701653 2.0"
"UE-2";"0.002";"154.5501175705165 129.60230876015848 2.0"
"UE-3";"0.002";"123.16675673126456 13.055660975940508 2.0"
"UE-4";"0.002";"-299.29886606200034 169.40101672260988 2.0"
"UE-5";"0.002";"-297.07214638527444 42.217089719107385 2.0"
"UE-1";"0.003";"-93.30242345996973 -40.766808398297044 2.0"
"UE-2";"0.003";"154.52395252287715 129.63048897816725 2.0"
"UE-3";"0.003";"123.1928928842934 13.076524939079398 2.0"
"UE-4";"0.003";"-299.28457242855075 169.39746872436734 2.0"
"UE-5";"0.003";"-297.05841366064703 42.22389790722822 2.0"
"UE-1";"0.004";"-93.31145079678069 -40.780521789577556 2.0"
"UE-2";"0.004";"154.4977874752378 129.65866919617602 2.0"
"UE-3";"0.004";"123.21902903732224 13.097388902218288 2.0"
"UE-4";"0.004";"-299.27027879510115 169.3939207261248 2.0"
"UE-5";"0.004";"-297.04468093601963 42.230706095349056 2.0"
"UE-1";"0.005";"-93.32047813359165 -40.79423518085807 2.0"
"UE-2";"0.005";"154.47162242759845 129.6868494141848 2.0"
"UE-3";"0.005";"123.24516519035109 13.118252865357178 2.0"
"UE-4";"0.005";"-299.25598516165155 169.39037272788227 2.0"
"UE-5";"0.005";"-297.03094821139223 42.23751428346989 2.0"
"UE-1";"0.006";"-93.32950547040261 -40.80794857213858 2.0"
"UE-2";"0.006";"154.4454573799591 129.71502963219356 2.0"
"UE-3";"0.006";"123.27130134337993 13.139116828496068 2.0"
"UE-4";"0.006";"-299.24169152820195 169.38682472963973 2.0"
"UE-5";"0.006";"-297.0172154867648 42.24432247159073 2.0"
"UE-1";"0.007";"-93.33853280721357 -40.82166196341909 2.0"
"UE-2";"0.007";"154.41929233231974 129.74320985020233 2.0"
"UE-3";"0.007";"123.29743749640878 13.159980791634958 2.0"
"UE-4";"0.007";"-299.22739789475236 169.3832767313972 2.0"
"UE-5";"0.007";"-297.0034827621374 42.25113065971156 2.0"
"UE-1";"0.008";"-93.34756014402453 -40.8353753546996 2.0"
"UE-2";"0.008";"154.3931272846804 129.7713900682111 2.0"
"UE-3";"0.008";"123.32357364943762 13.180844754773847 2.0"
"UE-4";"0.008";"-299.21310426130276 169.37972873315465 2.0"
"UE-5";"0.008";"-296.98975003751 42.2579388478324 2.0"
"UE-1";"0.009000000000000001";"-93.35658748083549 -40.84908874598011 2.0"
"UE-2";"0.009000000000000001";"154.36696223704104 129.79957028621988 2.0"
"UE-3";"0.009000000000000001";"123.34970980246646 13.201708717912737 2.0"
"UE-4";"0.009000000000000001";"-299.19881062785316 169.3761807349121 2.0"
"UE-5";"0.009000000000000001";"-296.9760173128826 42.264747035953235 2.0"
"UE-1";"0.010000000000000002";"-93.36561481764645 -40.86280213726062 2.0"
"UE-2";"0.010000000000000002";"154.34079718940168 129.82775050422865 2.0"
"UE-3";"0.010000000000000002";"123.37584595549531 13.222572681051627 2.0"
"UE-4";"0.010000000000000002";"-299.18451699440357 169.37263273666957 2.0"
"UE-5";"0.010000000000000002";"-296.9622845882552 42.27155522407407 2.0"
"UE-1";"0.011000000000000003";"-93.3746421544574 -40.876515528541134 2.0"
"UE-2";"0.011000000000000003";"154.31463214176233 129.85593072223742 2.0"
"UE-3";"0.011000000000000003";"123.40198210852415 13.243436644190517 2.0"
"UE-4";"0.011000000000000003";"-299.17022336095397 169.36908473842703 2.0"
"UE-5";"0.011000000000000003";"-296.9485518636278 42.278363412194906 2.0"
"UE-1";"0.012000000000000004";"-93.38366949126836 -40.890228919821645 2.0"
"UE-2";"0.012000000000000004";"154.28846709412298 129.8841109402462 2.0"
"UE-3";"0.012000000000000004";"123.428118261553 13.264300607329407 2.0"
"UE-4";"0.012000000000000004";"-299.1559297275044 169.3655367401845 2.0"
"UE-5";"0.012000000000000004";"-296.9348191390004 42.28517160031574 2.0"
"UE-1";"0.013000000000000005";"-93.39269682807932 -40.903942311102156 2.0"
"UE-2";"0.013000000000000005";"154.26230204648363 129.91229115825496 2.0"
"UE-3";"0.013000000000000005";"123.45425441458184 13.285164570468297 2.0"
"UE-4";"0.013000000000000005";"-299.1416360940548 169.36198874194196 2.0"
"UE-5";"0.013000000000000005";"-296.921086414373 42.29197978843658 2.0"
"UE-1";"0.014000000000000005";"-93.40172416489028 -40.91765570238267 2.0"
"UE-2";"0.014000000000000005";"154.23613699884427 129.94047137626373 2.0"
"UE-3";"0.014000000000000005";"123.48039056761068 13.306028533607186 2.0"
"UE-4";"0.014000000000000005";"-299.1273424606052 169.35844074369942 2.0"
"UE-5";"0.014000000000000005";"-296.9073536897456 42.29878797655741 2.0"
"UE-1";"0.015000000000000006";"-93.41075150170124 -40.93136909366318 2.0"
"UE-2";"0.015000000000000006";"154.20997195120492 129.9686515942725 2.0"
"UE-3";"0.015000000000000006";"123.50652672063953 13.326892496746076 2.0"
"UE-4";"0.015000000000000006";"-299.1130488271556 169.35489274545688 2.0"
"UE-5";"0.015000000000000006";"-296.8936209651182 42.30559616467825 2.0"
"UE-1";"0.016000000000000007";"-93.4197788385122 -40.94508248494369 2.0"
"UE-2";"0.016000000000000007";"154.18380690356557 129.99683181228127 2.0"
"UE-3";"0.016000000000000007";"123.53266287366837 13.347756459884966 2.0"
"UE-4";"0.016000000000000007";"-299.098755193706 169.35134474721434 2.0"
"UE-5";"0.016000000000000007";"-296.8798882404908 42.312404352799085 2.0"
"UE-1";"0.017000000000000008";"-93.42880617532316 -40.9587958762242 2.0"
"UE-2";"0.017000000000000008";"154.15764185592622 130.02501203029004 2.0"
"UE-3";"0.017000000000000008";"123.55879902669722 13.368620423023856 2.0"
"UE-4";"0.017000000000000008";"-299.0844615602564 169.3477967489718 2.0"
"UE-5";"0.017000000000000008";"-296.8661555158634 42.31921254091992 2.0"
"UE-1";"0.01800000000000001";"-93.43783351213412 -40.97250926750471 2.0"
"UE-2";"0.01800000000000001";"154.13147680828686 130.0531922482988 2.0"
"UE-3";"0.01800000000000001";"123.58493517972606 13.389484386162746 2.0"
"UE-4";"0.01800000000000001";"-299.0701679268068 169.34424875072926 2.0"
"UE-5";"0.01800000000000001";"-296.852422791236 42.326020729040756 2.0"
