"UE-1";"0.001";"-115.40756601777403 66.79194002067595 2"
"UE-2";"0.001";"234.73591173284922 121.23159852061258 2"
"UE-3";"0.001";"201.40173062597466 10.6060143112648 2"
"UE-4";"0.001";"-140.11096260977305 5.191549848190334 2"
"UE-5";"0.001";"109.48309822466308 221.9385627472676 2"
"UE-6";"0.001";"228.82610725103086 287.7395300915599 2"
"UE-7";"0.001";"-144.94879624639708 200.41656512123348 2"
"UE-8";"0.001";"167.32750998686765 136.786952151894 2"
"UE-9";"0.001";"-85.97589682107082 -6.236168659252712 2"
"UE-10";"0.001";"-245.01917040495965 -106.5798742242298 2"
"UE-1";"0.002";"-115.4236595694277 66.81903197936687 2.0"
"UE-2";"0.002";"234.7199477567899 121.24638157391355 2.0"
"UE-3";"0.002";"201.38152862850725 10.625510438526467 2.0"
"UE-4";"0.002";"-140.14026205814596 5.198552063530429 2.0"
"UE-5";"0.002";"109.48748989961899 221.91250601736553 2.0"
"UE-6";"0.002";"228.82526936775298 287.71524865693283 2.0"
"UE-7";"0.002";"-144.9699841347379 200.41244355949937 2.0"
"UE-8";"0.002";"167.29917707876726 136.79759138733783 2.0"
"UE-9";"0.002";"-85.98793350765014 -6.238377264472015 2.0"
"UE-10";"0.002";"-245.0040623060248 -106.58735450638399 2.0"
"UE-1";"0.003";"-115.43975312108137 66.84612393805779 2.0"
"UE-2";"0.003";"234.7039837807306 121.26116462721453 2.0"
"UE-3";"0.003";"201.36132663103984 10.645006565788133 2.0"
"UE-4";"0.003";"-140.16956150651887 5.205554278870524 2.0"
"UE-5";"0.003";"109.4918815745749 221.88644928746345 2.0"
"UE-6";"0.003";"228.8244314844751 287.69096722230574 2.0"
"UE-7";"0.003";"-144.99117202307872 200.40832199776526 2.0"
"UE-8";"0.003";"167.27084417066686 136.80823062278165 2.0"
"UE-9";"0.003";"-85.99997019422946 -6.2405858696913175 2.0"
"UE-10";"0.003";"-244.98895420708993 -106.59483478853818 2.0"
"UE-1";"0.004";"-115.45584667273503 66.8732158967487 2.0"
"UE-2";"0.004";"234.68801980467128 121.2759476805155 2.0"
"UE-3";"0.004";"201.34112463357243 10.6645026930498 2.0"
"UE-4";"0.004";"-140.19886095489179 5.212556494210619 2.0"
"UE-5";"0.004";"109.49627324953082 221.86039255756137 2.0"
"UE-6";"0.004";"228.82359360119722 287.66668578767866 2.0"
"UE-7";"0.004";"-145.01235991141954 200.40420043603115 2.0"
"UE-8";"0.004";"167.24251126256647 136.81886985822547 2.0"
"UE-9";"0.004";"-86.01200688080878 -6.24279447491062 2.0"
"UE-10";"0.004";"-244.97384610815507 -106.60231507069237 2.0"
"UE-1";"0.005";"-115.4719402243887 66.90030785543962 2.0"
"UE-2";"0.005";"234.67205582861197 121.29073073381647 2.0"
"UE-3";"0.005";"201.32092263610502 10.683998820311466 2.0"
"UE-4";"0.005";"-140.2281604032647 5.219558709550714 2.0"
"UE-5";"0.005";"109.50066492448673 221.8343358276593 2.0"
"UE-6";"0.005";"228.82275571791934 287.6424043530516 2.0"
"UE-7";"0.005";"-145.03354779976036 200.40007887429704 2.0"
"UE-8";"0.005";"167.21417835446607 136.8295090936693 2.0"
"UE-9";"0.005";"-86.0240435673881 -6.245003080129923 2.0"
"UE-10";"0.005";"-244.9587380092202 -106.60979535284656 2.0"
"UE-1";"0.006";"-115.48803377604237 66.92739981413054 2.0"
"UE-2";"0.006";"234.65609185255266 121.30551378711745 2.0"
"UE-3";"0.006";"201.3007206386376 10.703494947573132 2.0"
"UE-4";"0.006";"-140.2574598516376 5.226560924890809 2.0"
"UE-5";"0.006";"109.50505659944264 221.8082790977572 2.0"
"UE-6";"0.006";"228.82191783464145 287.6181229184245 2.0"
"UE-7";"0.006";"-145.05473568810118 200.39595731256293 2.0"
"UE-8";"0.006";"167.18584544636568 136.8401483291131 2.0"
"UE-9";"0.006";"-86.03608025396743 -6.247211685349225 2.0"
"UE-10";"0.006";"-244.94362991028535 -106.61727563500075 2.0"
"UE-1";"0.007";"-115.50412732769604 66.95449177282146 2.0"
"UE-2";"0.007";"234.64012787649335 121.32029684041842 2.0"
"UE-3";"0.007";"201.2805186411702 10.722991074834798 2.0"
"UE-4";"0.007";"-140.28675930001052 5.233563140230904 2.0"
"UE-5";"0.007";"109.50944827439855 221.78222236785513 2.0"
"UE-6";"0.007";"228.82107995136357 287.5938414837974 2.0"
"UE-7";"0.007";"-145.075923576442 200.39183575082882 2.0"
"UE-8";"0.007";"167.15751253826528 136.85078756455692 2.0"
"UE-9";"0.007";"-86.04811694054675 -6.249420290568528 2.0"
"UE-10";"0.007";"-244.9285218113505 -106.62475591715494 2.0"
"UE-1";"0.008";"-115.52022087934971 66.98158373151237 2.0"
"UE-2";"0.008";"234.62416390043404 121.3350798937194 2.0"
"UE-3";"0.008";"201.2603166437028 10.742487202096465 2.0"
"UE-4";"0.008";"-140.31605874838343 5.2405653555709995 2.0"
"UE-5";"0.008";"109.51383994935446 221.75616563795305 2.0"
"UE-6";"0.008";"228.8202420680857 287.5695600491703 2.0"
"UE-7";"0.008";"-145.0971114647828 200.3877141890947 2.0"
"UE-8";"0.008";"167.12917963016488 136.86142680000074 2.0"
"UE-9";"0.008";"-86.06015362712607 -6.251628895787831 2.0"
"UE-10";"0.008";"-244.91341371241563 -106.63223619930913 2.0"
"UE-1";"0.009000000000000001";"-115.53631443100338 67.00867569020329 2.0"
"UE-2";"0.009000000000000001";"234.60819992437473 121.34986294702037 2.0"
"UE-3";"0.009000000000000001";"201.24011464623538 10.76198332935813 2.0"
"UE-4";"0.009000000000000001";"-140.34535819675634 5.2475675709110945 2.0"
"UE-5";"0.009000000000000001";"109.51823162431037 221.73010890805097 2.0"
"UE-6";"0.009000000000000001";"228.8194041848078 287.54527861454324 2.0"
"UE-7";"0.009000000000000001";"-145.11829935312363 200.3835926273606 2.0"
"UE-8";"0.009000000000000001";"167.1008467220645 136.87206603544456 2.0"
"UE-9";"0.009000000000000001";"-86.07219031370539 -6.253837501007133 2.0"
"UE-10";"0.009000000000000001";"-244.89830561348077 -106.63971648146332 2.0"
"UE-1";"0.010000000000000002";"-115.55240798265704 67.03576764889421 2.0"
"UE-2";"0.010000000000000002";"234.59223594831542 121.36464600032134 2.0"
"UE-3";"0.010000000000000002";"201.21991264876797 10.781479456619797 2.0"
"UE-4";"0.010000000000000002";"-140.37465764512925 5.2545697862511895 2.0"
"UE-5";"0.010000000000000002";"109.52262329926629 221.70405217814888 2.0"
"UE-6";"0.010000000000000002";"228.81856630152993 287.52099717991615 2.0"
"UE-7";"0.010000000000000002";"-145.13948724146445 200.3794710656265 2.0"
"UE-8";"0.010000000000000002";"167.0725138139641 136.88270527088838 2.0"
"UE-9";"0.010000000000000002";"-86.08422700028471 -6.256046106226436 2.0"
"UE-10";"0.010000000000000002";"-244.8831975145459 -106.64719676361752 2.0"
"UE-1";"0.011000000000000003";"-115.56850153431071 67.06285960758512 2.0"
"UE-2";"0.011000000000000003";"234.5762719722561 121.37942905362232 2.0"
"UE-3";"0.011000000000000003";"201.19971065130056 10.800975583881463 2.0"
