"UE-1";"0.001";"41.68645601090748 230.49822229170286 2"
"UE-2";"0.001";"-172.57674749252803 -62.12923072607691 2"
"UE-3";"0.001";"-277.0665271165242 -269.7138436466773 2"
"UE-4";"0.001";"199.17142110412988 -229.78365977295545 2"
"UE-5";"0.001";"-25.745608350230214 0.15063135140934492 2"
"UE-6";"0.001";"44.54550910629729 -230.18568718212373 2"
"UE-7";"0.001";"102.87763045140184 97.36026250147 2"
"UE-8";"0.001";"-241.23478495344634 -14.03516189350421 2"
"UE-9";"0.001";"-261.40198069706327 -1.3813705268867125 2"
"UE-10";"0.001";"-282.2835292718677 173.29093706107682 2"
"UE-1";"0.002";"41.69940440289265 230.46932519822366 2.0"
"UE-2";"0.002";"-172.5671493676788 -62.14418326822003 2.0"
"UE-3";"0.002";"-277.0438010471806 -269.69583137839 2.0"
"UE-4";"0.002";"199.16647484141902 -229.76529811263856 2.0"
"UE-5";"0.002";"-25.747106582856215 0.1617422608748043 2.0"
"UE-6";"0.002";"44.568069032544855 -230.1799463237347 2.0"
"UE-7";"0.002";"102.88249466084342 97.36619173008634 2.0"
"UE-8";"0.002";"-241.229891915331 -14.036600079009819 2.0"
"UE-9";"0.002";"-261.37862694870296 -1.4063508650564558 2.0"
"UE-10";"0.002";"-282.2800812623639 173.27702909333956 2.0"
"UE-1";"0.003";"41.712352794877816 230.44042810474446 2.0"
"UE-2";"0.003";"-172.5575512428296 -62.15913581036315 2.0"
"UE-3";"0.003";"-277.021074977837 -269.6778191101027 2.0"
"UE-4";"0.003";"199.16152857870816 -229.74693645232168 2.0"
"UE-5";"0.003";"-25.748604815482217 0.1728531703402637 2.0"
"UE-6";"0.003";"44.59062895879242 -230.17420546534566 2.0"
"UE-7";"0.003";"102.887358870285 97.37212095870268 2.0"
"UE-8";"0.003";"-241.22499887721565 -14.038038264515428 2.0"
"UE-9";"0.003";"-261.35527320034265 -1.4313312032261991 2.0"
"UE-10";"0.003";"-282.27663325286017 173.2631211256023 2.0"
"UE-1";"0.004";"41.725301186862986 230.41153101126525 2.0"
"UE-2";"0.004";"-172.54795311798037 -62.174088352506274 2.0"
"UE-3";"0.004";"-276.99834890849337 -269.6598068418154 2.0"
"UE-4";"0.004";"199.1565823159973 -229.7285747920048 2.0"
"UE-5";"0.004";"-25.75010304810822 0.1839640798057231 2.0"
"UE-6";"0.004";"44.61318888503999 -230.16846460695663 2.0"
"UE-7";"0.004";"102.89222307972658 97.37805018731902 2.0"
"UE-8";"0.004";"-241.2201058391003 -14.039476450021038 2.0"
"UE-9";"0.004";"-261.33191945198234 -1.4563115413959424 2.0"
"UE-10";"0.004";"-282.2731852433564 173.24921315786506 2.0"
"UE-1";"0.005";"41.738249578848155 230.38263391778605 2.0"
"UE-2";"0.005";"-172.53835499313115 -62.189040894649395 2.0"
