"UE-1";"0.001";"-22.496531735841007 0.0 0.0"
"UE-2";"0.001";"-27.68344669954012 0.0 0.0"
"UE-3";"0.001";"-52.046910232071895 0.0 0.0"
"UE-4";"0.001";"-18.109771074964197 0.0 0.0"
"UE-5";"0.001";"-14.90914232311767 0.0 0.0"
"UE-6";"0.001";"-17.777801505984 0.0 0.0"
"UE-7";"0.001";"17.759155707861108 0.0 0.0"
"UE-8";"0.001";"-20.997009671934773 0.0 0.0"
"UE-9";"0.001";"-39.474898627586555 0.0 0.0"
"UE-10";"0.001";"-21.906299544942915 0.0 0.0"
"UE-11";"0.001";"-36.105118693565544 0.0 0.0"
"UE-12";"0.001";"-42.252367627262274 0.0 0.0"
"UE-13";"0.001";"-17.81593205961615 0.0 0.0"
"UE-14";"0.001";"-20.304902919906667 0.0 0.0"
"UE-15";"0.001";"-24.008832480200045 0.0 0.0"
"UE-1";"0.002";"-20.626257148930712 0.0 0.0"
"UE-2";"0.002";"-29.834390930393496 0.0 0.0"
"UE-3";"0.002";"-49.79493746597213 0.0 0.0"
"UE-4";"0.002";"-21.088959225385146 0.0 0.0"
"UE-5";"0.002";"-16.335909551351858 0.0 0.0"
"UE-6";"0.002";"-21.097008153331483 0.0 0.0"
"UE-7";"0.002";"14.986562072835909 0.0 0.0"
"UE-8";"0.002";"-18.732187661964556 0.0 0.0"
"UE-9";"0.002";"-41.759631197095075 0.0 0.0"
"UE-10";"0.002";"-23.194782181340056 0.0 0.0"
"UE-11";"0.002";"-36.9462826922327 0.0 0.0"
"UE-12";"0.002";"-40.16398271059869 0.0 0.0"
"UE-13";"0.002";"-23.058805124857248 0.0 0.0"
"UE-14";"0.002";"-19.671791255746417 0.0 0.0"
"UE-15";"0.002";"-28.0049925272527 0.0 0.0"
"UE-1";"0.003";"-20.481411677006264 0.0 0.0"
"UE-2";"0.003";"-29.085561585933675 0.0 0.0"
"UE-3";"0.003";"-51.12435713196152 0.0 0.0"
"UE-4";"0.003";"-16.674750919340294 0.0 0.0"
"UE-5";"0.003";"-16.614238144234925 0.0 0.0"
"UE-6";"0.003";"-16.649523681402343 0.0 0.0"
"UE-7";"0.003";"15.986586963410247 0.0 0.0"
"UE-8";"0.003";"-18.110362823874283 0.0 0.0"
"UE-9";"0.003";"-39.97569285716879 0.0 0.0"
"UE-10";"0.003";"-22.91729003576547 0.0 0.0"
"UE-11";"0.003";"-36.85211548033764 0.0 0.0"
"UE-12";"0.003";"-43.40971208295584 0.0 0.0"
"UE-13";"0.003";"-21.63166037251267 0.0 0.0"
"UE-14";"0.003";"-14.686260004846696 0.0 0.0"
"UE-15";"0.003";"-29.26058790347284 0.0 0.0"
"UE-1";"0.004";"-15.545078786869993 0.0 0.0"
"UE-2";"0.004";"-27.07067621954924 0.0 0.0"
"UE-3";"0.004";"-50.733041885508065 0.0 0.0"
"UE-4";"0.004";"-19.07510865366163 0.0 0.0"
"UE-5";"0.004";"-22.985267660478286 0.0 0.0"
"UE-6";"0.004";"-16.87097514596488 0.0 0.0"
"UE-7";"0.004";"16.53625942122752 0.0 0.0"
"UE-8";"0.004";"-25.436989982797332 0.0 0.0"
"UE-9";"0.004";"-39.46488451002985 0.0 0.0"
